name,http,p50_ms,p95_ms,bytes
sales-register.1month,200,709,836,20823
sales-register.1year,200,907,1030,20881
sales-register.3year,200,1196,3607,20725
purchase-register.1month,200,128,150,21558
purchase-register.1year,200,218,240,21588
purchase-register.3year,200,786,922,21462
sales-by-customer.1month,200,462,623,13425
sales-by-customer.1year,200,738,800,13484
sales-by-customer.3year,200,1730,1915,13400
detail-general-ledger.1month,200,2770,3059,14854
detail-general-ledger.1year,200,2161,2337,14809
detail-general-ledger.3year,200,1760,1825,14514
general-ledger-summary.1month,200,2256,2320,5127
general-ledger-summary.1year,200,1687,1742,5132
general-ledger-summary.3year,200,1228,1242,5063
journal-report.1month,200,30,32,34494
journal-report.1year,200,61,77,34495
journal-report.3year,200,132,152,34516
income-statement.1month,200,516,567,601
income-statement.3year,200,1256,1268,609
customer-ageing.asof,200,1059,1087,11965
subscription.usage,200,216,225,1791
