name,http,p50_ms,p95_ms,bytes
sales-register.1month,200,675,815,20823
sales-register.1year,200,1686,1709,20881
sales-register.3year,200,4396,4466,20725
purchase-register.1month,200,161,236,21558
purchase-register.1year,200,357,378,21588
purchase-register.3year,200,1573,1618,21462
sales-by-customer.1month,200,633,639,13425
sales-by-customer.1year,200,1448,1542,13484
sales-by-customer.3year,200,3240,3534,13400
detail-general-ledger.1month,200,3678,3999,1604801
detail-general-ledger.1year,200,4922,5233,18863431
detail-general-ledger.3year,200,6865,9490,59584156
general-ledger-summary.1month,200,2459,2538,5127
general-ledger-summary.1year,200,1880,1898,5132
general-ledger-summary.3year,200,1300,1327,5063
journal-report.1month,200,133,135,34494
journal-report.1year,200,116,140,34495
journal-report.3year,200,171,203,34516
income-statement.1month,200,568,589,601
income-statement.3year,200,1511,1561,609
customer-ageing.asof,200,8627,8823,11965
subscription.usage,200,903,971,1791
