endpoint,runs,http,bytes,p50_ms,p95_ms,max_ms
invoices.page1,10,200,38501,53.5,96.8,96.8
invoices.last,10,200,38297,438.4,527.3,527.3
invoices.search.hit,10,200,38453,220.2,283.4,283.4
invoices.search.miss,10,200,50,1023.3,1172.7,1172.7
invoices.daterange,10,200,38452,197.2,288.9,288.9
invoices.status,10,200,50,189.8,255.1,255.1
contacts.page1,10,200,24027,30.9,61.8,61.8
contacts.last,10,200,23977,443.6,520.1,520.1
contacts.search.hit,10,200,23932,676.2,753.6,753.6
contacts.search.miss,10,200,50,1077.5,1166.5,1166.5
products.page1,10,200,39071,88.4,137.7,137.7
products.last,10,200,39125,221.6,564.9,564.9
products.search.hit,10,200,39220,231.6,261.1,261.1
purchase-bills.page1,10,200,48809,48.6,68.7,68.7
purchase-bills.last,10,200,48647,189.2,200.9,200.9
accounts.page1,10,200,4879,30.2,48.4,48.4
payments.page1,10,200,50,34.5,55.1,55.1
journal-vouchers.page1,10,200,50,29.8,57.4,57.4
stmt.trial-balance,10,200,2741,1077.3,1325.5,1325.5
stmt.balance-sheet,10,200,847,1276.8,1407.8,1407.8
stmt.income-statement,10,200,609,1157.6,1237.0,1237.0
stmt.income-statement.compare,10,200,610,1212.6,1282.6,1282.6
reg.sales-register,10,200,18525,3189.5,3473.2,3473.2
reg.sales-register.last,10,200,18629,2581.2,3506.7,3506.7
reg.purchase-register,10,200,21462,1025.7,1080.2,1080.2
rep.journal-report,10,200,34508,204.7,344.4,344.4
rep.detail-general-ledger,10,200,59584139,6966.1,8917.0,8917.0
rep.general-ledger-summary,10,200,5063,1094.3,1295.2,1295.2
rep.customer-ageing,10,200,11965,8535.5,8925.7,8925.7
rep.sales-by-customer,10,200,13400,2602.5,3133.6,3133.6
search.common,10,200,791,554.4,594.6,594.6
search.code,10,200,801,695.2,787.3,787.3
search.miss,10,200,2,852.8,969.7,969.7
