endpoint,runs,http,bytes,p50_ms,p95_ms,max_ms
invoices.page1,10,200,38501,48.7,62.0,62.0
invoices.last,10,200,38297,354.7,425.7,425.7
invoices.search.hit,10,200,38453,214.3,267.9,267.9
invoices.search.miss,10,200,50,783.7,857.4,857.4
invoices.daterange,10,200,38452,157.7,213.3,213.3
invoices.status,10,200,50,552.5,652.0,652.0
contacts.page1,10,200,24027,52.6,65.6,65.6
contacts.last,10,200,23977,403.0,568.0,568.0
contacts.search.hit,10,200,23932,544.1,724.8,724.8
contacts.search.miss,10,200,50,965.9,1420.9,1420.9
products.page1,10,200,39071,44.6,119.2,119.2
products.last,10,200,39125,165.7,245.7,245.7
products.search.hit,10,200,39220,200.4,254.2,254.2
purchase-bills.page1,10,200,48809,60.6,181.3,181.3
purchase-bills.last,10,200,48647,209.2,347.8,347.8
accounts.page1,10,200,4879,40.8,55.0,55.0
payments.page1,10,200,50,47.1,64.2,64.2
journal-vouchers.page1,10,200,50,46.2,75.1,75.1
stmt.trial-balance,10,200,2741,3595.2,4077.1,4077.1
stmt.balance-sheet,10,200,847,3499.1,3668.1,3668.1
stmt.income-statement,10,200,609,3119.2,4007.4,4007.4
stmt.income-statement.compare,10,200,610,3558.1,4082.9,4082.9
reg.sales-register,10,200,18525,2958.1,3499.5,3499.5
reg.sales-register.last,10,200,18629,2943.1,3262.8,3262.8
reg.purchase-register,10,200,21462,1302.9,1376.4,1376.4
rep.journal-report,10,200,34508,606.8,2517.8,2517.8
rep.detail-general-ledger,10,200,59584139,14047.5,14898.9,14898.9
rep.general-ledger-summary,10,200,5063,3588.4,3893.5,3893.5
rep.customer-ageing,10,200,11965,10077.6,10921.9,10921.9
rep.sales-by-customer,10,200,13400,3774.4,4429.4,4429.4
search.common,10,200,791,611.9,702.0,702.0
search.code,10,200,801,744.5,876.8,876.8
search.miss,10,200,2,993.1,1106.2,1106.2
