endpoint,runs,http,bytes,p50_ms,p95_ms,max_ms
invoices.page1,10,200,38501,381.9,469.3,469.3
invoices.last,10,200,38298,527.8,586.3,586.3
invoices.search.hit,10,200,38453,698.9,763.2,763.2
invoices.search.miss,10,200,50,619.5,651.5,651.5
invoices.daterange,10,200,38452,149.8,186.0,186.0
invoices.status,10,200,50,155.3,195.8,195.8
contacts.page1,10,200,24027,393.3,418.7,418.7
contacts.last,10,200,23977,451.0,470.6,470.6
contacts.search.hit,10,200,23932,1020.9,1131.6,1131.6
contacts.search.miss,10,200,50,989.5,1056.4,1056.4
products.page1,10,200,39071,163.0,177.7,177.7
products.last,10,200,39125,176.1,199.1,199.1
products.search.hit,10,200,39220,334.9,419.2,419.2
purchase-bills.page1,10,200,48809,118.2,139.8,139.8
purchase-bills.last,10,200,48647,131.5,153.7,153.7
accounts.page1,10,200,4879,15.1,19.2,19.2
payments.page1,10,200,50,18.3,25.0,25.0
journal-vouchers.page1,10,200,50,19.2,38.8,38.8
stmt.trial-balance,10,200,2741,879.7,1015.7,1015.7
stmt.balance-sheet,10,200,847,983.0,1066.0,1066.0
stmt.income-statement,10,200,609,903.8,1011.7,1011.7
stmt.income-statement.compare,10,200,610,952.7,1144.0,1144.0
reg.sales-register,10,200,18525,1941.6,2196.1,2196.1
reg.sales-register.last,10,200,18629,1950.7,2193.1,2193.1
reg.purchase-register,10,200,21462,910.2,1020.3,1020.3
rep.journal-report,10,200,34508,197.6,242.0,242.0
rep.detail-general-ledger,10,200,59584139,6621.9,6872.7,6872.7
rep.general-ledger-summary,10,200,5063,1124.7,1168.3,1168.3
rep.customer-ageing,10,200,11965,7656.4,8055.8,8055.8
rep.sales-by-customer,10,200,13400,2066.8,2345.1,2345.1
search.common,10,200,791,894.6,999.4,999.4
search.code,10,200,801,876.8,910.9,910.9
search.miss,10,200,2,767.1,884.5,884.5
