endpoint,runs,http,bytes,p50_ms,p95_ms,max_ms
invoices.page1,10,200,38501,99.5,202.6,202.6
invoices.last,10,200,38297,74.4,200.2,200.2
invoices.search.hit,10,200,38453,229.7,258.0,258.0
invoices.search.miss,10,200,50,230.8,259.0,259.0
invoices.daterange,10,200,38452,76.1,86.4,86.4
invoices.status,10,200,50,119.2,154.6,154.6
contacts.page1,10,200,24027,47.3,53.7,53.7
contacts.last,10,200,23977,68.9,95.1,95.1
contacts.search.hit,10,200,23932,525.9,609.9,609.9
contacts.search.miss,10,200,50,454.5,473.7,473.7
products.page1,10,200,39821,31.1,40.0,40.0
products.last,10,200,39875,40.4,61.5,61.5
products.search.hit,10,200,39970,194.5,231.9,231.9
purchase-bills.page1,10,200,48809,37.2,47.5,47.5
purchase-bills.last,10,200,48646,44.5,51.0,51.0
accounts.page1,10,200,4880,21.4,41.5,41.5
payments.page1,10,200,29224,41.8,66.5,66.5
journal-vouchers.page1,10,200,50,24.3,29.1,29.1
stmt.trial-balance,10,200,2741,1054.1,1117.6,1117.6
stmt.balance-sheet,10,200,847,1059.7,1118.9,1118.9
stmt.income-statement,10,200,609,1101.9,1156.2,1156.2
stmt.income-statement.compare,10,200,610,2083.1,5319.2,5319.2
reg.sales-register,10,200,20419,3464.6,5189.6,5189.6
reg.sales-register.last,10,200,20523,2720.4,4382.0,4382.0
reg.purchase-register,10,200,21258,1815.1,2307.3,2307.3
rep.journal-report,10,200,34516,700.9,1076.7,1076.7
rep.detail-general-ledger,10,200,14514,2110.7,3278.4,3278.4
rep.general-ledger-summary,10,200,5063,1361.3,1867.1,1867.1
rep.customer-ageing,10,200,11965,2068.4,3280.4,3280.4
rep.sales-by-customer,10,200,13400,3112.8,4067.2,4067.2
cheques.page1,10,200,19964,64.7,81.0,81.0
cheques.last,10,200,19948,1378.5,1749.9,1749.9
cheques.received,10,200,20260,131.1,239.3,239.3
cheques.status,10,200,19890,108.2,235.8,235.8
cheques.daterange,10,200,19985,59.9,106.2,106.2
cheques.search.hit,10,200,19830,1905.3,1968.5,1968.5
cheques.search.miss,10,200,50,2632.5,2843.7,2843.7
cheques.dashboard,10,200,43,65.0,69.6,69.6
search.common,10,200,791,568.5,629.8,629.8
search.code,10,200,801,762.5,780.0,780.0
search.miss,10,200,2,918.0,966.0,966.0
