endpoint,runs,http,bytes,p50_ms,p95_ms,max_ms
invoices.page1,10,200,38501,44.4,71.9,71.9
invoices.last,10,200,38297,63.7,77.8,77.8
invoices.search.hit,10,200,38453,233.7,300.0,300.0
invoices.search.miss,10,200,50,247.2,277.2,277.2
invoices.daterange,10,200,38452,71.5,83.7,83.7
invoices.status,10,200,50,110.2,140.9,140.9
contacts.page1,10,200,24027,39.5,43.0,43.0
contacts.last,10,200,23977,64.0,72.4,72.4
contacts.search.hit,10,200,23932,621.6,703.7,703.7
contacts.search.miss,10,200,50,489.5,546.9,546.9
products.page1,10,200,39821,28.6,32.9,32.9
products.last,10,200,39875,40.2,63.6,63.6
products.search.hit,10,200,39970,214.3,234.1,234.1
purchase-bills.page1,10,200,48809,35.1,56.6,56.6
purchase-bills.last,10,200,48646,41.8,45.9,45.9
accounts.page1,10,200,4880,19.7,37.5,37.5
payments.page1,10,200,29224,42.2,45.9,45.9
journal-vouchers.page1,10,200,50,15.1,17.3,17.3
stmt.trial-balance,10,200,2741,427.1,1196.5,1196.5
stmt.balance-sheet,10,200,847,1169.3,1240.8,1240.8
stmt.income-statement,10,200,609,1207.1,1256.0,1256.0
stmt.income-statement.compare,10,200,610,1216.0,1261.4,1261.4
reg.sales-register,10,200,20419,1237.9,1295.4,1295.4
reg.sales-register.last,10,200,20523,1217.5,1289.3,1289.3
reg.purchase-register,10,200,21258,936.9,966.4,966.4
rep.journal-report,10,200,34516,130.5,159.0,159.0
rep.detail-general-ledger,10,200,14514,1770.9,1823.1,1823.1
rep.general-ledger-summary,10,200,5063,1187.4,1228.3,1228.3
rep.customer-ageing,10,200,11965,1052.6,1125.2,1125.2
rep.sales-by-customer,10,200,13400,1766.4,1813.3,1813.3
cheques.page1,10,200,19964,32.3,34.8,34.8
cheques.last,10,200,19948,1215.2,1255.6,1255.6
cheques.received,10,200,20260,42.5,66.1,66.1
cheques.status,10,200,19890,25.0,47.4,47.4
cheques.daterange,10,200,19985,17.4,19.7,19.7
cheques.search.hit,10,200,19830,1977.8,2027.9,2027.9
cheques.search.miss,10,200,50,2653.5,2686.5,2686.5
cheques.dashboard,10,200,43,65.3,68.9,68.9
search.common,10,200,791,602.2,645.1,645.1
search.code,10,200,801,765.6,789.9,789.9
search.miss,10,200,2,916.3,967.6,967.6
