endpoint,runs,http,bytes,p50_ms,p95_ms,max_ms
invoices.page1,10,200,38501,310.1,914.1,914.1
invoices.last,10,200,38297,326.4,702.9,702.9
invoices.search.hit,10,200,38453,514.7,754.1,754.1
invoices.search.miss,10,200,50,390.6,537.7,537.7
invoices.daterange,10,200,38452,230.0,1087.3,1087.3
invoices.status,10,200,50,231.2,274.4,274.4
contacts.page1,10,200,24027,161.9,378.1,378.1
contacts.last,10,200,23977,267.5,341.7,341.7
contacts.search.hit,10,200,23932,1160.6,1815.2,1815.2
contacts.search.miss,10,200,50,1108.2,1848.3,1848.3
products.page1,10,200,39821,103.1,251.1,251.1
products.last,10,200,39875,105.9,124.3,124.3
products.search.hit,10,200,39970,342.8,735.4,735.4
purchase-bills.page1,10,200,48809,100.7,175.6,175.6
purchase-bills.last,10,200,48646,116.3,272.1,272.1
accounts.page1,10,200,4880,55.7,83.2,83.2
payments.page1,10,200,29224,92.4,161.3,161.3
journal-vouchers.page1,10,200,50,44.0,65.3,65.3
stmt.trial-balance,10,200,2741,1499.1,5319.7,5319.7
stmt.balance-sheet,10,200,847,1596.8,2535.4,2535.4
stmt.income-statement,10,200,609,1453.1,1724.7,1724.7
stmt.income-statement.compare,10,200,610,1656.9,2011.6,2011.6
reg.sales-register,10,200,20419,2535.0,3132.0,3132.0
reg.sales-register.last,10,200,20523,2415.3,2607.4,2607.4
reg.purchase-register,10,200,21258,1475.5,1576.2,1576.2
rep.journal-report,10,200,34516,427.5,502.7,502.7
rep.detail-general-ledger,10,200,14514,2195.1,2354.1,2354.1
rep.general-ledger-summary,10,200,5063,1525.8,1707.9,1707.9
rep.customer-ageing,10,200,11965,1810.9,2051.5,2051.5
rep.sales-by-customer,10,200,13400,2789.4,2995.4,2995.4
cheques.page1,10,200,19957,188.2,249.7,249.7
cheques.last,10,200,19968,1256.5,1436.0,1436.0
cheques.received,10,200,20262,155.6,195.9,195.9
cheques.status,10,200,19890,117.2,166.8,166.8
cheques.daterange,10,200,19970,82.3,113.0,113.0
cheques.search.hit,10,200,19830,2298.4,2458.7,2458.7
cheques.search.miss,10,200,50,2274.8,2595.8,2595.8
cheques.dashboard,10,200,43,180.3,404.2,404.2
search.common,10,200,791,557.5,586.7,586.7
search.code,10,200,801,685.7,742.5,742.5
search.miss,10,200,2,878.8,947.3,947.3
